query,before_retrieved_sources,after_retrieved_sources,changed
Как обработать ошибку в коде?,"d05,d09,d01","d05,d09,d01",False
Как создать свой класс?,"d07,d04,d01","d07,d04,d01",False
Чем список отличается от кортежа?,"d01,d04,d03","d01,d04,d03",False
Как импортировать модуль?,"d08,d10,d07","d08,d10,d07",False
Что делает **kwargs?,"d03,d09,d10","d03,d09,d10",False
Как автоматически закрыть файл?,"d06,d05,d08","d06,d05,d08",False
Что такое list comprehension?,"d04,d01,d02","d04,d01,d02",False
Как работает декоратор?,"d09,d07,d08","d09,d07,d08",False
Сохраняется ли порядок в словаре?,"d02,d01,d04","d02,d01,d04",False
Как создать виртуальное окружение?,"d10,d06,d08","d10,d06,d08",False
Как запустить асинхронную функцию?,"d09,d03,d04","d09,d03,d04",False
Зачем нужны type hints?,"d01,d04,d05","d01,d04,d05",False
